Date,Segment,Region,Product,Customer,Channel,Units Sold,Unit Price,Discount Amount,Net Sales,COGS,Gross Profit,Operating Expense,Marketing Spend,Total Expense,Net Income,Order ID
2021-01-22,Mid-Market,Middle East,Integration Pack,Maple LLC,In-Store,308,225.76,2086.02,67448.06,40468.84,26979.22,6744.81,2023.44,8768.25,18210.97,ORD-2021-000001
2021-01-19,Mid-Market,Latin America,Integration Pack,Orion Inc,Online,525,309.79,11384.78,151254.97,92265.53,58989.44,24200.8,6050.2,30251,28738.44,ORD-2021-000002
2021-01-03,SMB,APAC,Starter Plan,Zenith Co,Direct,282,137.1,2319.73,36342.47,23259.18,13083.29,5451.37,726.85,6178.22,6905.07,ORD-2021-000003
2021-01-15,Enterprise,Latin America,Integration Pack,Zenith Co,In-Store,147,434.53,1916.28,61959.63,39654.16,22305.47,7435.16,1858.79,9293.95,13011.52,ORD-2021-000004
2021-01-23,SMB,Europe,Analytics Suite,Acme Corp,Partner,468,91.85,3438.86,39546.94,20564.41,18982.53,3559.22,1581.88,5141.1,13841.43,ORD-2021-000005
2021-01-13,Mid-Market,Europe,Analytics Suite,Atlas BV,Direct,487,192.82,9390.33,84513.01,42256.51,42256.5,8451.3,5070.78,13522.08,28734.42,ORD-2021-000006
2021-01-20,SMB,APAC,Forecast Pro,Helios AG,Online,116,118.22,959.95,12753.57,7779.68,4973.89,1913.04,892.75,2805.79,2168.1,ORD-2021-000007
2021-01-20,Enterprise,Latin America,Integration Pack,Nova Retail,In-Store,73,461.91,1011.58,32707.85,20933.02,11774.83,2943.71,1308.31,4252.02,7522.81,ORD-2021-000008
2021-01-10,Mid-Market,North America,Analytics Suite,Helios AG,Direct,126,223.29,1406.73,26727.81,13898.46,12829.35,3207.34,1603.67,4811.01,8018.34,ORD-2021-000009
2021-01-26,Enterprise,North America,Starter Plan,Acme Corp,In-Store,453,402.79,10947.83,171516.04,108055.11,63460.93,13721.28,10290.96,24012.24,39448.69,ORD-2021-000010
2021-01-01,Mid-Market,Europe,Integration Pack,Sakura Ltd,Partner,348,235.51,819.57,81137.91,51116.88,30021.03,8113.79,1622.76,9736.55,20284.48,ORD-2021-000011
2021-01-12,Mid-Market,Middle East,Data Sync,Helios AG,Online,502,287.85,4335.02,140165.68,79894.44,60271.24,16819.88,4204.97,21024.85,39246.39,ORD-2021-000012
2021-01-18,SMB,North America,Forecast Pro,Acme Corp,In-Store,57,117.15,66.78,6610.77,4032.57,2578.2,1057.72,330.54,1388.26,1189.94,ORD-2021-000013
2021-01-20,Enterprise,APAC,Analytics Suite,Beta GmbH,Partner,529,353.13,13076.4,173729.37,86864.69,86864.68,26059.41,10423.76,36483.17,50381.51,ORD-2021-000014
