record_id,txn_date,fiscal_year,account,department,region,customer_name,revenue,cogs,gross_profit,net_income,cash_balance
1,2022-02-02,2022,1001,11,South,Customer 00001,5037,2023,3014,2495,100097
2,2023-03-03,2023,1002,12,East,Customer 00002,5074,2046,3028,2490,100194
3,2024-04-04,2024,1003,13,West,Customer 00003,5111,2069,3042,2485,100291
4,2025-05-05,2025,1004,14,North,Customer 00004,5148,2092,3056,2480,100388
5,2021-06-06,2021,1005,15,South,Customer 00005,5185,2115,3070,2475,100485
6,2022-07-07,2022,1006,16,East,Customer 00006,5222,2138,3084,2470,100582
7,2023-08-08,2023,1007,17,West,Customer 00007,5259,2161,3098,2465,100679
8,2024-09-09,2024,1008,18,North,Customer 00008,5296,2184,3112,2460,100776
9,2025-10-10,2025,1009,19,South,Customer 00009,5333,2207,3126,2455,100873
10,2021-11-11,2021,1010,20,East,Customer 00010,5370,2230,3140,2450,100970
11,2022-12-12,2022,1011,21,West,Customer 00011,5407,2253,3154,2445,101067
12,2023-01-13,2023,1012,22,North,Customer 00012,5444,2276,3168,2440,101164
13,2024-02-14,2024,1013,23,South,Customer 00013,5481,2299,3182,2435,101261
14,2025-03-15,2025,1014,24,East,Customer 00014,5518,2322,3196,2430,101358
15,2021-04-16,2021,1015,25,West,Customer 00015,5555,2345,3210,2425,101455
16,2022-05-17,2022,1016,26,North,Customer 00016,5592,2368,3224,2420,101552
17,2023-06-18,2023,1017,27,South,Customer 00017,5629,2391,3238,2415,101649
18,2024-07-19,2024,1018,28,East,Customer 00018,5666,2414,3252,2410,101746
19,2025-08-20,2025,1019,29,West,Customer 00019,5703,2437,3266,2405,101843
20,2021-09-21,2021,1020,30,North,Customer 00020,5740,2460,3280,2400,101940
21,2022-10-22,2022,1021,31,South,Customer 00021,5777,2483,3294,2395,102037
22,2023-11-23,2023,1022,32,East,Customer 00022,5814,2506,3308,2390,102134
23,2024-12-24,2024,1023,33,West,Customer 00023,5851,2529,3322,2385,102231
24,2025-01-25,2025,1024,34,North,Customer 00024,5888,2552,3336,2380,102328
25,2021-02-26,2021,1025,35,South,Customer 00025,5925,2575,3350,2375,102425
26,2022-03-27,2022,1026,36,East,Customer 00026,5962,2598,3364,2370,102522
27,2023-04-28,2023,1027,37,West,Customer 00027,5999,2621,3378,2365,102619
28,2024-05-01,2024,1028,38,North,Customer 00028,6036,2644,3392,2360,102716
29,2025-06-02,2025,1029,39,South,Customer 00029,6073,2667,3406,2355,102813
30,2021-07-03,2021,1030,40,East,Customer 00030,6110,2690,3420,2350,102910
31,2022-08-04,2022,1031,41,West,Customer 00031,6147,2713,3434,2345,103007
32,2023-09-05,2023,1032,42,North,Customer 00032,6184,2736,3448,2340,103104
33,2024-10-06,2024,1033,43,South,Customer 00033,6221,2759,3462,2335,103201
34,2025-11-07,2025,1034,44,East,Customer 00034,6258,2782,3476,2330,103298
35,2021-12-08,2021,1035,10,West,Customer 00035,6295,2805,3490,2325,103395
36,2022-01-09,2022,1036,11,North,Customer 00036,6332,2828,3504,2320,103492
37,2023-02-10,2023,1037,12,South,Customer 00037,6369,2851,3518,2315,103589
38,2024-03-11,2024,1038,13,East,Customer 00038,6406,2874,3532,2310,103686
39,2025-04-12,2025,1039,14,West,Customer 00039,6443,2897,3546,2305,103783
40,2021-05-13,2021,1040,15,North,Customer 00040,6480,2920,3560,2300,103880
41,2022-06-14,2022,1041,16,South,Customer 00041,6517,2943,3574,2295,103977
42,2023-07-15,2023,1042,17,East,Customer 00042,6554,2966,3588,2290,104074
43,2024-08-16,2024,1043,18,West,Customer 00043,6591,2989,3602,2285,104171
44,2025-09-17,2025,1044,19,North,Customer 00044,6628,3012,3616,2280,104268
45,2021-10-18,2021,1045,20,South,Customer 00045,6665,3035,3630,2275,104365
46,2022-11-19,2022,1046,21,East,Customer 00046,6702,3058,3644,2270,104462
47,2023-12-20,2023,1047,22,West,Customer 00047,6739,3081,3658,2265,104559
48,2024-01-21,2024,1048,23,North,Customer 00048,6776,3104,3672,2260,104656
49,2025-02-22,2025,1049,24,South,Customer 00049,6813,3127,3686,2255,104753
50,2021-03-23,2021,1050,25,East,Customer 00050,6850,3150,3700,2250,104850
51,2022-04-24,2022,1051,26,West,Customer 00051,6887,3173,3714,2245,104947
52,2023-05-25,2023,1052,27,North,Customer 00052,6924,3196,3728,2240,105044
53,2024-06-26,2024,1053,28,South,Customer 00053,6961,3219,3742,2235,105141
54,2025-07-27,2025,1054,29,East,Customer 00054,6998,3242,3756,2230,105238
55,2021-08-28,2021,1055,30,West,Customer 00055,7035,3265,3770,2225,105335
56,2022-09-01,2022,1056,31,North,Customer 00056,7072,3288,3784,2220,105432
57,2023-10-02,2023,1057,32,South,Customer 00057,7109,3311,3798,2215,105529
58,2024-11-03,2024,1058,33,East,Customer 00058,7146,3334,3812,2210,105626
59,2025-12-04,2025,1059,34,West,Customer 00059,7183,3357,3826,2205,105723
60,2021-01-05,2021,1060,35,North,Customer 00060,7220,3380,3840,2200,105820
