Date,SKU,Product Name,Category,Units Sold,Unit Cost,Unit Price,Inventory On Hand,Revenue,COGS,Gross Margin %,Discount,Net Profit
2025-01-01,SKU-BEV-005,Sparkling Water (12pk),Beverages,8,3.50,6.49,28,51.92,23.92,46.07,4.15,19.77
2025-06-06,SKU-DRY-105,Granola Bars 12ct,Dairy,6,6.56,10.86,1,65.16,39.36,39.60,9.20,16.60
2025-05-09,SKU-FRZ-024,Paper Towels 6ct,Frozen,8,4.12,6.82,19,54.57,32.93,39.66,4.95,16.69
2025-12-20,SKU-BAK-075,Potato Chips 8oz,Bakery,8,6.05,8.53,53,68.22,48.40,29.06,6.45,13.37
2025-10-03,SKU-PRD-006,Olive Oil 1L,Produce,21,9.95,15.87,100,333.31,208.96,37.31,12.57,111.77
2025-03-14,SKU-PRD-118,Ground Beef 1lb,Produce,23,15.55,22.92,116,527.09,357.66,32.14,51.39,118.04
2025-01-12,SKU-BAK-028,Ground Beef 1lb,Bakery,11,10.15,20.00,114,219.98,111.60,49.27,1.34,107.04
2025-01-03,SKU-HOU-085,Dish Soap 24oz,Household,6,17.17,32.41,12,194.48,102.99,47.04,25.44,66.05
2025-04-21,SKU-SNK-118,Potato Chips 8oz,Snacks,27,8.77,17.74,87,478.95,236.66,50.59,26.93,215.36
2025-08-16,SKU-MET-079,Laundry Detergent 64oz,Meat,14,15.18,28.02,109,392.21,212.52,45.81,6.74,172.95
2025-01-23,SKU-DRY-120,Rice 5lb,Dairy,20,6.85,8.23,149,164.66,137.06,16.76,0.76,26.84
2025-10-09,SKU-SEA-062,Salmon Fillet (lb),Seafood,6,11.41,15.44,53,92.67,68.47,26.11,9.04,15.15
2025-05-07,SKU-SNK-103,Chicken Breast (lb),Snacks,30,5.79,7.15,49,214.49,173.63,19.05,37.47,3.40
2025-05-12,SKU-DRY-100,Soda 12oz 6pk,Dairy,28,9.92,16.78,193,469.72,277.88,40.84,73.46,118.39
2025-06-15,SKU-BAK-115,Chicken Breast (lb),Bakery,8,10.89,20.49,172,163.90,87.15,46.82,13.22,63.52
2025-03-07,SKU-PAN-092,Chicken Breast (lb),Pantry,22,3.53,7.32,42,161.05,77.58,51.83,14.44,69.03
2025-06-02,SKU-PRD-032,Whole Milk 1gal,Produce,30,16.29,31.95,17,958.45,488.78,49.00,100.51,369.17
2025-11-28,SKU-HOU-065,Sourdough Bread,Household,10,6.60,9.58,63,95.81,66.00,31.11,13.73,16.08
